,direction,exp_cnt,total,threshold,direct,exp,select
0,d-lua,48,116,0.9,0.6844827586206897,0.6939655172413794,0.75
1,py-d,100,156,0.9,0.4198717948717949,0.4442307692307693,0.4538461538461539
2,py-sh,115,158,0.9,0.47911392405063286,0.5544303797468354,0.5582278481012658
3,cpp-py,19,149,0.9,0.9228187919463087,0.9016778523489934,0.9355704697986578
4,lua-py,22,144,0.9,0.8947916666666667,0.859375,0.8986111111111109
5,py-rb,47,161,0.9,0.7829192546583851,0.7829192546583851,0.8167701863354038
6,py-scala,77,160,0.9,0.6368750000000001,0.746875,0.7584375
7,py-swift,69,161,0.9,0.6437888198757764,0.7046583850931677,0.7136645962732919
8,py-ts,47,159,0.9,0.7889937106918238,0.8512578616352201,0.8591194968553458
9,py-cpp,49,161,0.9,0.765527950310559,0.8208074534161491,0.8310559006211181
10,java-cpp,43,155,0.9,0.7696774193548388,0.7983870967741935,0.8090322580645162
11,py-jl,71,159,0.9,0.6163522012578616,0.7053459119496855,0.7119496855345913
12,sh-java,39,138,0.9,0.717391304347826,0.7391304347826086,0.7681159420289855
13,jl-d,90,137,0.9,0.41605839416058393,0.4343065693430657,0.43686131386861315
14,rkt-java,58,136,0.9,0.6588235294117647,0.7713235294117647,0.8257352941176471
15,js-rkt,117,154,0.9,0.30194805194805197,0.4191558441558441,0.44253246753246755
16,rkt-jl,67,137,0.9,0.6332116788321168,0.6427007299270073,0.7047445255474454
17,java-jl,72,154,0.9,0.6022727272727273,0.7535714285714287,0.7610389610389611
18,py-go,96,154,0.9,0.4237012987012987,0.4571428571428571,0.4753246753246753
19,py-java,50,158,0.9,0.760126582278481,0.8294303797468355,0.8420886075949368
20,py-r,113,161,0.9,0.40434782608695646,0.4692546583850932,0.4857142857142858
21,py-pl,83,161,0.9,0.5832298136645964,0.6822981366459627,0.7118012422360248
22,py-rkt,131,161,0.9,0.3133540372670807,0.4127329192546583,0.4192546583850932
23,js-java,43,152,0.9,0.7700657894736843,0.7726973684210526,0.8128289473684212
24,jl-js,29,138,0.9,0.831159420289855,0.8351449275362319,0.8583333333333334
25,py-php,59,161,0.9,0.6844720496894411,0.7698757763975155,0.7779503105590062
26,py-lua,86,161,0.9,0.5618012422360249,0.6,0.6111801242236025
27,py-rs,58,156,0.9,0.7064102564102563,0.7397435897435898,0.748076923076923
28,d-cpp,21,116,0.9,0.8836206896551724,0.8137931034482758,0.8780172413793103
29,cpp-lua,58,149,0.9,0.6919463087248322,0.7194630872483221,0.7402684563758389
30,py-cs,45,158,0.9,0.7924050632911391,0.8357594936708862,0.8512658227848101
31,lua-rkt,121,145,0.9,0.29620689655172416,0.45206896551724135,0.4644827586206896
32,py-js,36,161,0.9,0.854968944099379,0.8475155279503105,0.8614906832298136
